dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7209156,1,04/23/21 38 2021 07:38:01. 043,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6569816,1,04/23/21 38 2021 07:38:02. 059,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6548520,1,04/23/21 38 2021 07:38:03. 071,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6513444,1,04/23/21 38 2021 07:38:04. 087,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6507140,1,04/23/21 38 2021 07:38:05. 101,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6496148,1,04/23/21 38 2021 07:38:06. 113,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6364060,1,04/23/21 38 2021 07:38:07. 125,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6247596,1,04/23/21 38 2021 07:38:08. 137,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6241248,1,04/23/21 38 2021 07:38:09. 151,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6077912,1,04/23/21 38 2021 07:38:10. 164,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6076088,1,04/23/21 38 2021 07:38:11. 179,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6065836,1,04/23/21 38 2021 07:38:12. 191,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6060984,1,04/23/21 38 2021 07:38:13. 207,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602940,1,04/23/21 38 2021 07:38:00. 732,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603092,1,04/23/21 38 2021 07:38:01. 757,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602896,1,04/23/21 38 2021 07:38:02. 783,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602304,1,04/23/21 38 2021 07:38:03. 808,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602384,1,04/23/21 38 2021 07:38:04. 833,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603044,1,04/23/21 38 2021 07:38:05. 858,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602348,1,04/23/21 38 2021 07:38:06. 883,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602988,1,04/23/21 38 2021 07:38:07. 909,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602584,1,04/23/21 38 2021 07:38:08. 934,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603208,1,04/23/21 38 2021 07:38:09. 959,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603296,1,04/23/21 38 2021 07:38:10. 984,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603192,1,04/23/21 38 2021 07:38:12. 010,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602796,1,04/23/21 38 2021 07:38:13. 035,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7223816,2,04/23/21 38 2021 07:38:00. 028,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7209156,2,04/23/21 38 2021 07:38:01. 043,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6569816,2,04/23/21 38 2021 07:38:02. 059,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6548520,2,04/23/21 38 2021 07:38:03. 071,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6513444,2,04/23/21 38 2021 07:38:04. 087,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6507140,2,04/23/21 38 2021 07:38:05. 101,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6496148,2,04/23/21 38 2021 07:38:06. 113,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6364060,2,04/23/21 38 2021 07:38:07. 125,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6247596,2,04/23/21 38 2021 07:38:08. 137,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6241248,2,04/23/21 38 2021 07:38:09. 151,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6077912,2,04/23/21 38 2021 07:38:10. 164,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6076088,2,04/23/21 38 2021 07:38:11. 179,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6065836,2,04/23/21 38 2021 07:38:12. 191,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6060984,2,04/23/21 38 2021 07:38:13. 207,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602940,2,04/23/21 38 2021 07:38:00. 732,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603092,2,04/23/21 38 2021 07:38:01. 757,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602896,2,04/23/21 38 2021 07:38:02. 783,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602304,2,04/23/21 38 2021 07:38:03. 808,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602384,2,04/23/21 38 2021 07:38:04. 833,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603044,2,04/23/21 38 2021 07:38:05. 858,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602348,2,04/23/21 38 2021 07:38:06. 883,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602988,2,04/23/21 38 2021 07:38:07. 909,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602584,2,04/23/21 38 2021 07:38:08. 934,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603208,2,04/23/21 38 2021 07:38:09. 959,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603296,2,04/23/21 38 2021 07:38:10. 984,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14603192,2,04/23/21 38 2021 07:38:12. 010,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451520,14602796,2,04/23/21 38 2021 07:38:13. 035,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684704,2,04/23/21 38 2021 07:38:00. 608,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684860,2,04/23/21 38 2021 07:38:01. 635,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684940,2,04/23/21 38 2021 07:38:02. 661,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684820,2,04/23/21 38 2021 07:38:03. 688,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14685476,2,04/23/21 38 2021 07:38:04. 714,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14685712,2,04/23/21 38 2021 07:38:05. 741,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14685324,2,04/23/21 38 2021 07:38:06. 767,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684928,2,04/23/21 38 2021 07:38:07. 794,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684532,2,04/23/21 38 2021 07:38:08. 821,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684628,2,04/23/21 38 2021 07:38:09. 847,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14683928,2,04/23/21 38 2021 07:38:10. 874,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684836,2,04/23/21 38 2021 07:38:11. 900,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14685168,2,04/23/21 38 2021 07:38:12. 927,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451488,14684520,2,04/23/21 38 2021 07:38:13. 953,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7223816,3,04/23/21 38 2021 07:38:00. 028,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7209156,3,04/23/21 38 2021 07:38:01. 043,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6569816,3,04/23/21 38 2021 07:38:02. 059,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6548520,3,04/23/21 38 2021 07:38:03. 071,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6513444,3,04/23/21 38 2021 07:38:04. 087,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6507140,3,04/23/21 38 2021 07:38:05. 101,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6496148,3,04/23/21 38 2021 07:38:06. 113,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6364060,3,04/23/21 38 2021 07:38:07. 125,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6247596,3,04/23/21 38 2021 07:38:08. 137,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6241248,3,04/23/21 38 2021 07:38:09. 151,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6077912,3,04/23/21 38 2021 07:38:10. 164,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6076088,3,04/23/21 38 2021 07:38:11. 179,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6065836,3,04/23/21 38 2021 07:38:12. 191,train
